x1,x2,x3,x4,omega1,omega2,omega3,omega4,omega5,omega6,omega7,omega8,omega9,omega10,omega11,omega12,h
9.81594,36.5284,12.6526,12.883,6,10,0,12,8,0,18,2,2,12,16,2,2010.08
57.2828,52.4808,44.364,6.16283,14,18,8,12,12,6,6,0,14,6,4,12,504.574
47.7652,48.9748,39.5817,28.9602,6,8,18,8,18,10,18,6,14,14,0,8,479.213
8.19125,30.4012,52.5839,37.5556,4,0,6,8,16,6,16,2,6,12,4,4,280.114
27.8583,34.4694,26.5759,21.4693,18,6,16,14,18,0,18,12,16,6,10,2,3054.99
44.4037,13.6293,46.915,40.0279,16,16,10,18,12,4,14,12,14,12,2,16,819.659
9.78011,34.3766,27.8167,55.8955,8,10,12,0,12,12,18,8,0,14,14,8,554.917
58.8598,37.4032,14.8468,50.7559,4,2,0,12,18,0,10,18,18,16,18,0,552.712
34.7415,40.0878,14.9558,22.6151,10,6,12,8,4,18,14,8,6,18,10,6,1324.08
47.9789,41.9019,25.2703,38.4798,16,14,12,6,18,18,16,12,12,4,2,4,625.436
3.4435,34.8756,13.4463,31.8112,16,16,18,4,8,18,14,6,6,0,14,14,5666
40.0137,30.8158,0.340186,17.4985,16,10,0,4,14,8,18,2,6,18,14,8,3429.92
9.88385,37.9042,35.3696,37.377,12,0,4,0,12,16,6,8,6,18,14,4,436.173
50.3183,59.4363,6.28614,51.1051,18,12,0,4,16,14,10,18,12,4,18,12,750.14
35.7184,18.7024,51.3601,49.9788,6,4,6,18,8,14,10,0,4,0,18,8,418.849
58.6427,48.3662,10.0321,9.77569,16,18,16,14,6,18,4,18,2,14,18,4,2845.25
18.7052,37.4881,3.1791,31.198,6,12,16,6,14,16,6,0,14,4,18,14,4102.69
18.9297,30.8099,22.2694,1.15208,0,12,10,12,4,16,14,4,0,6,6,12,2672.93
51.7582,20.1275,3.24465,52.7913,14,6,8,0,10,18,4,12,0,8,0,18,625.55
3.84917,12.9967,35.0641,1.82745,14,16,6,16,16,16,2,8,0,4,14,0,6299.78
34.7601,52.9215,11.8544,37.2087,16,10,14,16,6,16,4,6,16,18,4,4,525.997
56.9789,44.0064,55.322,36.852,14,2,6,4,18,8,10,2,14,0,18,2,392.182
20.5583,42.9496,53.5967,20.2421,16,6,2,2,10,18,12,0,10,2,2,16,466.389
1.02744,48.1569,32.3081,2.80102,2,14,14,6,18,14,18,12,18,18,16,18,9101.04
38.0401,39.6116,52.8674,1.74503,12,8,2,18,0,14,6,4,0,4,16,16,530.405
1.61206,33.8859,0.991911,51.0522,16,8,6,6,14,10,2,8,10,6,12,6,2255.83
7.60352,52.3635,52.6778,55.3488,10,0,12,14,0,12,14,10,12,0,16,18,563.152
32.8947,20.8482,54.8602,15.6854,2,14,8,8,10,12,6,8,6,0,8,14,446.558
55.8152,45.3405,37.3243,9.06755,14,2,0,6,16,4,16,6,4,2,18,2,381.915
17.6156,26.1573,6.44297,47.0195,18,4,12,16,6,6,12,12,2,6,16,18,3634.51
52.812,31.4084,0.933263,25.3476,18,18,16,6,4,2,14,8,12,10,14,0,1750.74
27.8278,1.19916,54.3079,32.3322,4,6,12,12,12,14,0,12,8,18,14,6,941.484
21.5724,47.3388,23.2352,33.4736,14,0,4,8,0,16,16,2,18,12,12,6,486.218
15.9898,0.153655,2.48444,55.9675,10,6,6,6,0,14,14,10,2,8,4,0,1224.17
14.4005,48.7292,52.2156,27.5941,8,6,2,2,12,12,14,2,16,10,12,12,540.961
5.34892,19.2347,56.965,50.9593,10,6,10,18,16,18,2,6,6,10,16,12,855.498
30.161,35.2659,33.1493,40.356,10,4,4,8,14,10,8,12,12,4,10,14,445.208
45.4113,27.8484,48.048,3.37204,6,10,4,6,0,10,6,18,10,14,2,6,523.754
51.6549,24.1466,52.3193,31.2977,10,18,10,14,2,18,12,16,6,18,0,14,509.259
1.09915,53.4686,26.6778,53.8536,0,8,4,6,18,2,10,14,16,4,6,14,530.885
50.865,7.23053,23.5821,44.163,6,0,0,16,0,16,14,14,18,6,12,16,713.798
54.0109,20.8547,44.6222,25.8105,14,0,8,16,18,10,14,12,8,2,2,2,480.511
16.0005,59.8599,45.8222,33.3578,18,16,4,14,4,16,4,4,10,12,2,2,463.481
19.5478,39.2726,55.196,19.7371,0,2,10,16,0,4,0,2,6,0,4,0,164.073
42.3449,30.3921,20.0415,58.2037,12,14,6,14,6,18,12,14,2,18,4,18,642.615
36.7527,3.3471,34.7378,37.5075,16,4,18,10,12,16,10,8,6,10,18,10,3157.66
44.9544,28.8334,42.857,57.7349,8,6,8,16,6,14,0,8,4,0,0,2,281.186
31.1839,6.98084,26.9423,59.742,8,12,16,6,0,8,0,18,0,6,18,12,598.431
5.12904,43.7729,31.0371,0.104708,14,6,14,0,14,12,16,0,6,12,2,6,2699.33
57.3298,1.90379,16.9637,48.6451,6,0,4,6,0,10,10,12,8,0,0,12,413.655
19.5423,7.59048,13.1461,26.0781,6,0,2,0,12,0,18,12,18,10,16,14,4585.5
58.8361,57.5093,19.4852,7.89463,18,2,6,12,6,14,4,0,4,12,6,18,451.158
32.5729,12.5038,30.7426,31.5489,8,8,0,10,8,10,18,0,18,18,2,12,883.305
45.6026,2.47354,52.7173,59.3295,6,14,6,14,18,8,18,14,10,4,14,10,802.609
53.4139,8.22676,27.1866,24.5892,2,0,10,14,16,16,16,6,6,2,16,14,1269.1
48.562,1.45272,55.8373,57.6008,16,18,14,18,0,12,4,2,0,16,12,14,752.564
49.4243,33.4756,3.74761,46.073,18,14,18,6,2,6,18,4,10,2,8,8,625.234
10.3174,4.00851,51.1059,36.5577,16,14,0,2,10,8,18,6,8,8,10,4,828.396
18.9153,28.7676,16.2336,18.0431,8,16,4,4,10,10,2,6,16,4,14,0,1674.95
8.13502,45.2779,5.13482,20.9999,2,14,12,6,2,0,6,10,0,0,2,10,402.071
10.9309,55.2391,22.8316,30.7022,8,0,16,10,14,18,18,16,14,14,12,8,3460.99
22.0541,42.6802,25.7893,1.13077,2,0,18,10,8,12,10,16,10,18,16,2,3620.99
58.3434,56.9962,35.4943,33.4265,14,2,16,0,2,18,14,2,6,16,12,10,408.665
34.239,54.6569,18.8009,27.4614,6,16,14,12,10,6,14,18,12,10,14,8,1211.39
35.3891,3.96482,36.6869,36.7946,6,14,12,6,2,2,10,4,16,18,0,2,404.527
10.4059,51.1372,22.3352,27.6393,14,6,16,12,8,0,8,12,14,6,4,16,1051.37
55.3099,12.9439,48.1643,36.5995,4,10,6,14,0,4,16,6,8,4,16,14,415.472
35.3536,7.61238,21.352,3.35083,2,0,4,12,2,0,0,18,8,4,18,18,2281.44
59.8261,17.7531,57.174,23.2296,12,2,10,12,14,0,2,14,12,4,18,8,561.085
51.0336,21.7252,34.7431,6.93095,18,6,12,12,4,16,4,4,16,0,0,0,407.716
23.1235,17.1985,34.89,16.9054,8,14,2,16,2,10,10,4,12,2,10,10,1217.45
38.8207,19.9643,20.7679,26.6513,8,4,14,0,10,8,18,4,2,8,0,4,361.375
48.2127,11.5311,3.91161,42.3682,8,18,0,12,10,16,0,2,8,6,2,6,607.064
15.5633,32.577,21.8268,2.48565,0,2,12,2,0,0,16,2,18,8,8,10,1116.64
55.1335,48.6291,48.6809,20.3254,4,10,10,12,16,12,18,16,0,6,4,8,440.198
43.096,54.0142,17.1125,29.8125,8,18,4,14,12,8,18,14,16,8,16,10,993.67
6.53467,28.1182,22.7085,2.23223,18,0,10,8,16,18,4,4,4,14,10,0,5016.8
7.48509,41.9846,34.3798,21.512,4,0,12,12,10,0,8,4,16,10,6,12,477.62
18.2323,9.51479,15.0836,9.9641,16,8,6,6,0,6,2,0,6,4,10,6,2010.62
21.7125,2.10172,43.6424,57.7038,2,0,10,18,16,18,10,8,4,4,10,16,899.231
37.1036,20.0856,18.2638,59.2645,16,12,6,18,12,2,6,0,6,12,4,4,379.533
25.9338,29.6735,2.45894,47.3813,18,2,0,14,0,6,10,10,12,12,8,2,438.172
22.7067,32.294,5.57421,25.8301,4,12,10,0,4,2,18,6,8,6,18,0,727.938
32.2302,13.7731,5.1114,47.3618,8,0,16,14,8,14,10,6,0,8,18,4,1454.98
18.9224,28.5274,0.621541,6.24386,16,10,16,2,2,12,18,0,18,6,16,12,7898.69
13.4635,20.268,23.55,45.6293,0,0,18,6,6,8,14,0,6,4,4,2,298.334
21.5539,37.1934,29.5668,9.30829,10,12,18,2,12,0,4,2,18,2,14,2,573.27
39.0062,17.8626,36.7597,0.871306,8,18,2,14,10,4,4,10,12,18,6,2,1891.75
32.3123,13.2585,56.1256,43.2904,0,18,12,2,4,18,10,0,6,0,12,0,388.751
41.2339,17.7671,52.3149,16.613,6,18,6,8,4,18,2,0,12,8,18,4,529.999
29.82,5.12386,16.6429,56.6262,10,2,4,6,10,18,10,0,12,2,14,16,717.049
59.3793,8.64142,36.3488,53.9804,18,14,2,16,4,0,8,2,10,14,2,4,385.664
34.4357,0.230256,29.9064,16.4107,16,16,6,16,12,0,8,6,14,12,12,6,4808.89
25.3728,20.5385,10.1746,3.67546,18,14,6,16,12,10,2,0,16,12,12,12,7506.08
43.1164,37.1229,44.2677,7.58593,10,4,16,12,12,6,2,12,4,6,8,16,492.863
5.38649,50.8081,11.8079,35.0346,18,0,18,8,10,0,8,18,4,10,6,14,1742.1
50.5207,42.223,22.4579,50.2188,14,12,10,0,14,2,8,0,10,18,18,18,480.218
29.5256,36.2745,6.02025,22.3458,2,4,6,12,4,14,4,16,6,18,14,12,2330.7
31.3757,51.224,41.0302,14.192,8,2,4,6,6,10,4,12,12,4,6,16,407.049
26.0497,56.7541,46.3593,0.557747,8,12,8,10,18,18,8,8,0,12,18,8,836.544
5.20757,43.6209,56.2134,18.1419,4,10,6,8,6,4,16,12,4,4,0,18,499.494
52.3861,12.5679,28.0162,48.7506,16,8,14,18,10,8,16,10,14,14,6,10,957.082
41.1046,4.88748,3.79657,28.9496,16,0,10,8,8,8,4,0,16,0,8,14,1798.54
55.2593,2.64801,45.1714,16.3696,4,10,12,10,12,8,12,8,18,14,10,16,2191.32
57.8487,22.7793,51.9111,9.97457,6,14,16,10,16,2,18,10,4,14,10,4,643.107
53.8045,32.2565,35.0822,6.87881,0,8,16,2,16,6,16,6,16,8,0,0,528.917
25.0495,47.3861,37.5761,41.7886,16,2,6,12,4,2,6,18,16,14,0,8,356.269
29.231,4.9383,17.9501,6.91816,12,14,10,14,4,4,8,12,14,10,14,16,7802.48
45.8386,9.37821,59.5359,0.246501,16,0,12,12,2,12,0,2,16,18,8,4,750.84
41.6146,56.2147,40.4883,27.3251,0,8,4,2,14,10,16,10,2,8,16,8,399.187
20.5052,50.3843,28.1639,11.2276,4,0,6,6,2,12,18,18,16,6,10,0,679.807
25.7484,32.6153,5.73332,59.8366,0,8,14,12,12,18,8,6,10,2,6,18,792.083
16.6259,11.7415,59.6835,20.7438,4,14,10,14,18,6,10,10,14,4,6,16,2442.78
40.8973,0.287348,29.4642,24.264,12,2,14,2,16,12,18,16,2,12,16,2,3505.33
28.699,4.72048,17.0599,45.4925,14,12,6,8,0,6,2,12,0,2,6,4,405.773
42.176,11.8051,47.7711,29.4128,4,12,16,18,10,4,2,2,0,6,10,0,499.943
47.409,2.99037,39.0884,18.3689,0,6,18,10,2,14,16,12,8,12,4,2,641.643
48.7792,52.0586,28.717,7.22389,8,12,14,12,4,14,2,18,14,16,4,12,795.81
49.1613,54.6807,58.7027,36.9915,10,8,4,12,12,18,4,18,10,0,8,12,489.234
9.58567,6.42761,28.8433,28.8599,18,14,10,12,18,10,10,16,16,2,0,4,6178.69
18.9915,50.9555,29.4656,48.6062,2,0,18,10,0,18,6,8,2,12,6,2,326.135
37.643,25.3747,52.9772,47.9988,6,14,18,0,8,0,2,18,12,0,16,16,524.978
1.25808,24.4777,37.09,31.7099,4,2,16,10,10,12,2,14,18,10,8,12,2885.1
40.857,43.8214,5.97624,2.7243,8,8,18,4,18,2,6,12,16,18,14,10,4705.33
16.2483,24.6273,30.4933,40.4521,2,2,6,6,16,6,10,0,8,6,16,0,320.772
4.3742,17.2601,50.5004,0.584167,4,16,12,16,12,12,6,6,18,2,8,4,4925.3
14.5163,15.1811,28.3701,55.439,12,4,14,16,2,18,8,14,12,10,2,2,736.789
31.7362,50.42,29.1319,19.6577,6,18,2,4,18,8,8,0,10,14,14,18,649.949
15.3263,8.58706,22.7551,4.92613,8,12,10,0,0,4,4,14,14,10,0,0,2746.96
30.2228,54.6897,29.9307,5.88729,16,18,4,12,2,8,0,6,14,2,6,14,565.834
22.3442,59.6994,47.8539,39.9883,2,0,4,18,10,10,10,16,16,4,14,0,401.182
19.1606,12.2126,57.1678,39.7088,6,8,8,4,16,2,12,16,4,18,0,2,408.634
19.5047,35.0553,34.9398,13.2209,0,18,16,10,0,12,10,6,0,16,2,4,404.633
48.9165,19.7158,44.2235,43.9167,6,12,10,14,0,18,0,2,12,4,2,4,354.742
49.5635,33.8538,0.330983,42.8332,14,14,10,18,12,6,18,14,18,14,8,0,2635.74
13.0698,4.79549,17.7729,29.5569,4,16,12,10,10,16,0,18,6,12,10,16,7046.51
5.69562,26.3585,27.65,14.0481,6,16,6,14,16,12,10,12,2,0,18,14,5750.02
11.4847,2.87251,38.3087,53.7988,0,8,10,0,0,14,12,6,12,16,12,2,426.164
16.835,45.2773,55.5262,49.4266,18,2,4,8,16,12,0,14,16,12,0,8,474.112
15.0123,11.7177,19.3098,59.485,4,2,6,2,2,18,2,2,10,8,8,0,275.796
22.9641,36.9029,6.99994,47.998,14,4,6,16,14,0,4,16,14,8,14,8,812.675
27.7673,4.36033,24.0139,42.4155,0,16,14,6,10,8,16,2,4,12,4,4,623.447
12.2694,51.5344,38.5472,42.4057,4,10,8,10,4,4,12,2,8,6,14,16,455.091
29.0991,8.43868,48.831,23.2157,10,2,8,4,12,16,16,12,2,8,12,6,490.109
48.4383,22.6562,22.5316,28.197,0,4,14,16,16,12,10,12,0,8,14,4,667.675
19.7976,39.0905,54.4821,20.3789,8,14,18,4,2,6,8,2,10,16,18,16,790.758
20.0812,4.31914,51.8268,33.711,8,2,0,6,14,4,4,4,0,0,0,10,277.361
8.08884,49.1173,33.8402,12.1845,0,14,8,18,4,8,8,18,12,2,2,16,1236.27
58.5073,52.9467,14.4596,22.0777,0,8,12,12,4,16,8,16,6,16,4,0,576.654
16.9634,43.166,31.3036,40.4317,6,16,10,14,2,10,2,6,4,0,8,12,447.085
40.6347,27.8173,5.36741,30.0675,12,14,16,0,18,10,18,16,6,0,18,6,3650.99
59.8816,49.8028,36.0095,51.3188,8,8,2,10,18,18,0,12,8,2,8,6,430.208
44.9761,32.7553,18.9753,17.1901,4,18,12,0,2,10,10,18,18,14,8,4,1198.41
24.1358,50.9198,28.4441,40.4576,4,8,4,10,2,0,12,12,0,0,18,18,374.601
42.3875,26.2537,5.29364,50.2537,16,4,6,12,12,6,18,0,12,8,10,14,626.017
1.0667,48.0949,11.6643,21.9092,18,4,10,6,2,8,2,18,8,2,18,18,3850.47
59.0286,53.0126,42.2504,1.94594,2,2,8,2,4,12,10,14,14,10,10,8,627.544
34.3497,54.9498,21.7533,27.4353,0,18,2,2,2,12,10,8,12,12,18,12,599.494
38.288,5.81074,41.0614,59.2769,0,2,10,18,2,6,8,18,10,12,12,6,580.918
49.7919,31.9417,24.6025,33.9584,8,8,2,14,4,0,4,0,16,0,6,10,269.12
36.2843,50.3031,44.1644,11.4041,6,8,0,10,16,10,2,0,16,18,12,14,648.458
56.2002,37.4824,26.3569,0.390316,8,6,18,16,14,8,0,8,10,14,16,0,773.828
10.0733,41.4021,25.3171,44.735,6,8,6,16,4,2,18,16,10,18,4,4,437.873
37.8744,14.7631,23.7732,16.0021,0,4,16,14,12,2,16,4,18,4,0,16,1867.7
33.8938,13.3911,3.70644,14.1329,8,18,16,0,14,8,14,6,2,6,6,2,3915.91
22.3161,7.07717,26.0269,33.3253,16,18,8,6,2,0,2,8,0,6,12,12,735.891
50.8174,47.9012,55.7117,46.6881,18,0,14,0,2,18,10,18,2,16,2,8,386.166
48.917,28.1946,47.0016,56.4985,2,2,0,16,16,14,6,0,10,4,0,18,358.664
5.56496,50.2505,0.237997,40.0126,2,6,0,8,4,14,14,4,10,12,12,6,611.625
27.9381,55.8707,18.9285,11.2274,2,18,18,2,8,4,4,8,10,18,4,10,677.909
22.0104,29.4281,18.3105,3.83063,18,14,0,16,8,4,10,18,14,16,6,10,6525.78
39.0118,51.471,52.8901,24.1122,0,12,4,16,10,6,14,0,2,4,6,4,271.114
5.63274,49.4277,31.3595,19.8595,4,18,16,4,16,10,18,16,16,0,6,6,2989.58
17.5953,43.5413,38.2761,47.0451,18,4,6,8,2,4,4,14,8,6,0,2,284.838
33.2903,10.8607,16.3578,4.72627,2,16,2,14,12,12,0,0,10,8,4,8,2691.83
17.5367,19.7521,53.6463,12.6192,18,12,2,2,10,6,16,6,14,18,14,18,3935.26
13.7458,24.9444,20.0324,24.2733,16,18,16,14,0,12,8,6,2,6,12,12,4375.16
46.2599,10.286,15.9892,50.6146,6,10,0,16,4,8,14,0,4,8,14,10,493.033
22.1286,34.8816,54.6168,5.01394,18,10,8,14,2,8,2,8,6,14,8,6,636.772
52.1546,21.651,47.8902,51.0279,8,14,14,10,8,8,18,16,0,2,12,18,552.13
58.0211,40.4994,33.7244,45.45,14,0,16,16,8,10,4,2,18,10,18,6,458.589
16.523,22.3226,55.3013,48.9766,4,0,14,6,16,4,12,6,6,6,4,12,411.497
39.9773,19.2489,55.5451,7.30838,2,10,8,0,8,8,14,6,6,10,12,18,537.347
42.1283,50.1175,44.9344,52.9422,2,2,14,16,12,12,18,2,2,12,4,14,382.161
33.0529,39.5979,1.85032,18.2529,18,18,18,4,16,8,10,2,2,14,10,10,4220.75
52.8304,40.1131,21.1256,37.6852,18,10,12,8,10,4,8,2,14,14,8,2,382.161
57.5997,38.3116,42.9505,8.2754,4,2,0,18,6,4,18,0,6,2,10,2,255.265
38.2454,10.4624,42.0575,59.8239,0,12,14,8,16,10,6,0,4,16,8,18,588.959
23.2166,21.1705,12.523,53.9551,12,16,16,6,14,18,4,12,10,14,2,10,3018.9
27.1576,17.7912,37.4939,39.443,14,18,14,0,18,12,12,4,0,4,10,8,638.46
52.1279,53.833,31.4059,19.4245,12,8,8,4,0,6,8,16,6,10,4,6,323.637
19.0946,43.354,10.2838,39.3195,2,10,18,12,14,2,10,12,10,14,2,10,899.795
35.4265,32.9837,17.5957,51.2927,0,14,10,12,4,8,18,16,4,12,8,6,526.407
56.6225,54.9354,18.9558,50.6337,18,10,0,4,8,4,12,14,0,10,12,4,374.047
17.984,36.7129,53.7192,38.4461,6,2,4,0,14,6,4,0,16,8,18,16,466.136
26.6676,2.15656,5.38004,2.34965,6,14,0,18,16,16,12,8,8,4,16,18,10484.9
52.4246,1.0533,2.86549,40.3665,2,18,4,10,18,4,14,8,6,6,18,10,2888.99
10.6122,38.5487,8.11577,21.6921,6,0,14,6,14,18,4,4,10,18,18,8,4604.08
13.1175,25.7482,29.2113,34.6877,6,0,16,18,10,8,16,10,12,4,10,6,1809.17
21.2036,28.8238,2.02841,11.4344,12,8,12,6,14,16,2,18,10,10,10,12,7196.24
17.0376,30.4819,28.9823,25.2486,18,2,16,6,12,0,16,4,4,18,0,18,1668.88
34.3972,14.1805,12.2475,44.2831,10,6,12,2,6,12,12,12,0,0,4,8,532.362
29.1594,1.98856,1.68487,57.5518,8,2,18,0,12,10,8,0,6,18,8,4,1069.21
56.5321,34.6434,12.1338,52.6719,4,4,0,6,18,8,2,12,10,12,10,4,408.973
40.5841,17.5594,41.6482,22.0795,4,16,14,2,14,14,14,18,10,4,6,10,1014.07
16.7196,26.7558,43.9818,1.3426,16,6,10,6,12,18,12,4,6,18,16,0,4013.39
23.2369,2.78024,47.561,38.1972,0,18,10,6,12,8,18,0,2,12,6,10,592.325
37.8284,21.9511,52.2366,20.4799,12,6,4,16,14,8,6,16,18,10,18,10,1225.75
38.995,9.07414,49.0804,13.7288,14,8,0,12,4,8,8,0,14,2,10,18,477.479
31.2787,40.7009,59.708,12.6214,12,18,8,10,18,0,4,14,14,16,8,12,784.168
23.9008,0.408673,28.5688,35.7849,8,18,14,4,4,4,6,18,6,2,14,6,2094.36
15.9938,8.03457,37.0746,12.9448,18,6,14,12,12,12,18,4,4,16,8,10,6454.74
34.8693,28.9511,41.356,29.5627,0,0,18,14,10,18,2,12,12,10,4,16,545.843
23.3384,28.5318,13.7796,54.1338,0,8,12,0,0,8,16,6,4,14,2,18,433.242
13.5817,26.9832,26.3786,5.50265,14,18,16,16,12,8,0,10,14,4,12,4,6112.98
52.9619,30.0771,5.6685,50.4952,6,4,14,4,12,10,18,8,10,14,18,8,799.043
32.9626,21.606,11.3535,17.5832,10,18,8,18,4,14,8,18,16,4,0,2,4122.54
43.7233,38.3407,51.3976,19.51,6,14,10,18,12,14,0,8,10,12,2,14,500.895
2.41165,32.5966,50.4235,27.0126,0,10,6,2,8,18,16,6,2,4,18,18,661.048
26.7886,56.1944,59.3369,15.14,12,6,18,8,18,14,0,4,18,4,16,14,728.752
27.8336,38.9568,26.512,27.2907,18,14,18,10,4,8,0,10,10,6,4,8,483.978
20.7473,40.0654,59.7395,1.68407,10,10,4,4,2,14,2,10,0,0,16,18,675.614
39.2639,28.0069,12.2323,27.5715,14,10,12,10,4,16,16,16,18,4,0,12,3059.97
34.2021,34.3821,59.8013,20.5656,4,0,12,6,16,2,0,12,8,12,8,6,385.418
22.0104,28.5275,0.941796,48.7702,14,4,12,14,6,2,4,4,12,4,8,4,419.193
41.1136,35.5999,6.98284,0.639076,6,16,4,12,8,8,0,8,18,8,18,14,4163.83
11.8823,26.3372,29.1433,31.5562,0,4,12,10,6,12,6,8,12,2,8,6,374.39
25.4989,40.0783,36.0516,38.826,8,16,10,12,8,6,14,12,10,14,12,14,566.461
38.9795,48.0865,49.5208,36.8164,16,16,16,12,6,8,6,4,8,6,10,2,410.182
2.39749,34.5372,26.5988,46.5642,16,16,14,14,14,16,2,4,18,2,12,6,3075.23
38.1878,2.6893,18.988,51.2416,8,12,6,14,12,12,2,0,12,0,2,16,731.191
32.7416,28.7767,49.9199,22.9581,12,0,12,18,2,12,4,0,16,6,12,4,412.036
13.1932,37.3804,52.167,50.1285,18,2,6,18,0,18,8,12,14,2,0,8,468.413
42.8728,22.9004,47.0191,50.4086,16,8,18,10,16,18,18,12,4,6,2,4,608.016
40.3807,18.8699,45.9525,3.17531,4,10,16,16,2,14,2,16,0,8,16,0,624.739
33.3076,0.481164,46.9152,43.7099,8,12,6,6,8,18,12,14,12,10,2,6,609.417
14.5752,45.9374,50.5697,24.8347,16,4,18,8,8,10,16,16,0,16,10,0,460.947
0.986907,26.9411,38.5366,44.3913,12,8,2,2,18,2,2,14,10,18,6,18,872.218
30.542,18.9572,14.2715,41.7461,14,18,6,0,4,12,6,10,8,6,12,16,1224.71
45.82,56.6191,57.5078,54.1278,14,16,10,14,10,18,8,8,2,6,18,10,523.239
45.9545,36.8753,23.8774,26.7382,0,14,6,12,14,18,16,18,12,16,10,18,2770.59
14.7597,26.1118,20.825,25.0178,16,18,4,2,0,2,16,18,12,6,12,14,3876.78
44.8407,36.9273,57.1302,6.89425,18,14,8,0,10,16,10,14,12,12,16,16,893.777
32.0439,2.59979,14.7234,15.3944,2,2,8,18,0,14,4,6,12,16,6,6,3403.51
57.3549,3.21478,30.7441,55.6948,4,2,2,12,18,18,12,10,0,4,0,10,696.005
27.478,2.30998,3.75376,29.4093,0,18,2,12,14,8,2,4,8,18,0,14,4107.87
6.63593,50.053,40.5786,44.5653,0,4,10,16,14,0,18,4,0,18,6,8,331.39
19.0481,40.885,34.2704,42.3902,8,6,12,4,14,14,0,16,14,0,2,16,535.756
23.4591,17.4418,44.1777,54.317,4,18,18,14,16,14,14,18,0,12,12,14,2277.45
29.4239,7.81021,46.1735,58.4924,2,18,8,2,14,14,10,16,18,0,8,8,648.78
50.9414,32.3924,38.5428,29.6364,14,14,12,10,12,4,16,8,4,2,16,4,440.167
58.9983,24.2945,17.6214,3.08849,12,0,4,8,8,10,18,16,10,14,14,18,3513.98
6.33879,35.9871,35.6465,10.7601,2,16,10,14,8,6,10,10,0,18,10,8,2837.81
29.3654,44.747,22.9889,34.0163,0,0,16,14,4,4,6,10,14,0,6,10,350.166
26.3868,22.2929,36.3012,34.8192,10,10,16,6,10,8,4,12,16,12,12,2,542.811
49.2116,59.968,2.77266,40.0394,8,8,18,14,12,16,8,14,18,4,16,18,1085.69
0.154846,22.5008,51.7529,51.5563,14,8,10,16,8,2,4,16,18,12,14,12,1653.1
48.7557,17.0343,36.1672,1.99408,14,16,10,18,18,8,6,0,2,6,4,0,561.439
46.453,16.2435,4.30101,47.1432,10,6,6,10,14,16,2,8,8,4,10,8,716.724
6.82961,5.2519,8.71065,59.8583,10,0,4,14,8,14,16,14,16,2,0,10,3431.6
33.7374,24.4481,18.3825,14.435,6,12,10,0,0,12,8,10,6,16,2,4,467.728
8.48722,24.7338,20.7677,23.2135,8,18,6,6,6,10,4,8,8,4,12,2,1892.17
42.0675,47.9733,7.80468,13.2897,8,2,4,4,10,8,0,0,10,14,10,16,483.587
50.5828,5.04901,18.7159,37.3837,12,4,6,14,4,2,2,6,4,2,0,0,322.496
47.1325,36.7628,52.2276,49.7454,14,12,10,2,2,4,4,4,14,14,16,14,431.198
6.36923,7.60628,38.7028,17.3983,10,8,14,18,0,4,18,18,2,2,8,10,4607.92
26.644,25.3634,42.6593,35.2049,10,12,4,16,18,4,18,14,4,8,6,0,451.559
26.8786,9.43229,8.51972,30.9128,8,16,10,2,14,2,14,4,12,4,16,16,4717.89
55.8552,57.7474,0.0537552,3.46292,2,14,4,14,6,12,12,12,4,16,10,12,1073.07
46.3581,41.334,20.4223,37.3669,0,8,0,4,6,10,14,4,18,4,10,0,346.019
4.22249,47.3327,41.2086,12.6676,0,18,10,6,8,10,14,8,4,16,14,2,1112.26
36.2153,30.7113,44.6148,20.4105,6,18,8,16,10,2,6,16,4,6,10,8,445.465
55.3708,16.9124,26.7524,47.8526,6,8,10,6,0,14,2,16,10,18,0,4,380.926
10.9387,7.0827,58.9337,18.4083,6,10,10,16,2,8,14,12,2,2,14,0,689.708
13.887,58.8963,50.0501,51.8566,8,0,14,2,18,6,6,18,0,8,12,10,444.046
47.4958,21.1237,6.48942,47.7407,18,16,12,16,18,10,10,18,16,2,8,10,3850.03
1.30354,8.57382,40.2535,39.809,18,10,12,4,18,18,6,16,18,2,12,4,5442.8
49.8385,35.9152,27.4403,28.4548,2,2,12,8,0,12,12,14,6,12,16,8,471.048
57.8168,27.6026,57.4818,36.2044,12,4,4,2,6,14,2,14,4,8,4,12,346.161
28.35,18.5711,3.71731,16.9131,8,10,18,0,10,0,8,0,14,0,12,8,2439.23
13.2142,31.4867,56.2221,44.5007,12,14,8,12,16,14,8,14,16,12,4,12,743.358
16.4363,4.7048,53.6097,58.8834,8,14,6,6,10,4,12,18,18,6,10,0,634.267
4.10175,58.055,11.1652,34.1463,4,12,16,0,2,0,16,8,8,12,4,0,440.652
35.058,19.2862,23.1591,14.5535,18,16,8,14,18,0,0,6,4,16,14,8,3510.96
9.32734,44.5555,43.9952,47.5845,12,0,16,16,10,8,14,14,16,16,2,12,560.328
1.36208,32.4799,10.0579,22.9784,4,2,8,8,16,4,16,18,10,12,0,14,4938.69
3.10399,28.8034,18.7765,37.1377,12,14,8,0,14,16,0,18,2,12,2,10,2595.27
16.3324,58.1165,24.2587,15.2724,16,4,6,2,4,6,8,18,10,10,16,12,892.359
37.4917,2.92075,9.11927,27.6044,0,10,14,16,6,14,8,18,4,18,18,0,5493.63
33.6717,0.554789,24.3327,0.286386,8,14,4,6,0,16,14,6,0,4,18,16,5133.63
